Index,Arguments,Edge Probability,Edges,Type,Set length
75,1,0.1,0,preferred,1
75,1,0.1,0,stable,1
76,1,0.1,0,admissible,0
76,1,0.1,0,admissible,1
76,1,0.1,0,complete,1
76,1,0.1,0,preferred,1
76,1,0.1,0,stable,1
77,1,0.1,0,admissible,0
77,1,0.1,0,admissible,1
77,1,0.1,0,complete,1
77,1,0.1,0,preferred,1
77,1,0.1,0,stable,1
78,1,0.1,0,admissible,0
78,1,0.1,0,admissible,1
78,1,0.1,0,complete,1
78,1,0.1,0,preferred,1
78,1,0.1,0,stable,1
79,1,0.1,0,admissible,0
79,1,0.1,0,admissible,1
79,1,0.1,0,complete,1
79,1,0.1,0,preferred,1
79,1,0.1,0,stable,1
80,1,0.1,0,admissible,0
80,1,0.1,0,admissible,1
80,1,0.1,0,complete,1
80,1,0.1,0,preferred,1
80,1,0.1,0,stable,1
81,1,0.1,0,admissible,0
81,1,0.1,0,admissible,1
81,1,0.1,0,complete,1
81,1,0.1,0,preferred,1
81,1,0.1,0,stable,1
82,1,0.1,0,admissible,0
82,1,0.1,0,admissible,1
82,1,0.1,0,complete,1
82,1,0.1,0,preferred,1
82,1,0.1,0,stable,1
83,1,0.1,0,admissible,0
83,1,0.1,0,admissible,1
83,1,0.1,0,complete,1
83,1,0.1,0,preferred,1
83,1,0.1,0,stable,1
84,1,0.1,0,admissible,0
84,1,0.1,0,admissible,1
84,1,0.1,0,complete,1
84,1,0.1,0,preferred,1
84,1,0.1,0,stable,1
85,1,0.1,0,admissible,0
85,1,0.1,0,admissible,1
85,1,0.1,0,complete,1
85,1,0.1,0,preferred,1
85,1,0.1,0,stable,1
86,1,0.1,0,admissible,0
86,1,0.1,0,admissible,1
86,1,0.1,0,complete,1
86,1,0.1,0,preferred,1
86,1,0.1,0,stable,1
87,1,0.1,0,admissible,0
87,1,0.1,0,admissible,1
87,1,0.1,0,complete,1
87,1,0.1,0,preferred,1
87,1,0.1,0,stable,1
88,1,0.1,0,admissible,0
88,1,0.1,0,admissible,1
88,1,0.1,0,complete,1
88,1,0.1,0,preferred,1
88,1,0.1,0,stable,1
89,1,0.1,0,admissible,0
89,1,0.1,0,admissible,1
89,1,0.1,0,complete,1
89,1,0.1,0,preferred,1
89,1,0.1,0,stable,1
90,1,0.1,0,admissible,0
90,1,0.1,0,admissible,1
90,1,0.1,0,complete,1
90,1,0.1,0,preferred,1
90,1,0.1,0,stable,1
91,1,0.1,0,admissible,0
91,1,0.1,0,admissible,1
91,1,0.1,0,complete,1
91,1,0.1,0,preferred,1
91,1,0.1,0,stable,1
92,1,0.1,0,admissible,0
92,1,0.1,0,admissible,1
92,1,0.1,0,complete,1
92,1,0.1,0,preferred,1
92,1,0.1,0,stable,1
93,1,0.1,0,admissible,0
93,1,0.1,0,admissible,1
93,1,0.1,0,complete,1
93,1,0.1,0,preferred,1
93,1,0.1,0,stable,1
94,1,0.1,0,admissible,0
94,1,0.1,0,admissible,1
94,1,0.1,0,complete,1
94,1,0.1,0,preferred,1
94,1,0.1,0,stable,1
95,1,0.1,0,admissible,0
95,1,0.1,0,admissible,1
95,1,0.1,0,complete,1
95,1,0.1,0,preferred,1
95,1,0.1,0,stable,1
96,1,0.1,0,admissible,0
96,1,0.1,0,admissible,1
96,1,0.1,0,complete,1
96,1,0.1,0,preferred,1
96,1,0.1,0,stable,1
97,1,0.1,0,admissible,0
97,1,0.1,0,admissible,1
97,1,0.1,0,complete,1
97,1,0.1,0,preferred,1
97,1,0.1,0,stable,1
98,1,0.1,0,admissible,0
98,1,0.1,0,admissible,1
98,1,0.1,0,complete,1
98,1,0.1,0,preferred,1
98,1,0.1,0,stable,1
99,1,0.1,0,admissible,0
99,1,0.1,0,admissible,1
99,1,0.1,0,complete,1
99,1,0.1,0,preferred,1
99,1,0.1,0,stable,1
100,1,0.1,0,admissible,0
100,1,0.1,0,admissible,1
100,1,0.1,0,complete,1
100,1,0.1,0,preferred,1
100,1,0.1,0,stable,1
101,1,0.1,0,admissible,0
101,1,0.1,0,admissible,1
101,1,0.1,0,complete,1
101,1,0.1,0,preferred,1
101,1,0.1,0,stable,1
102,1,0.1,0,admissible,0
102,1,0.1,0,admissible,1
102,1,0.1,0,complete,1
102,1,0.1,0,preferred,1
102,1,0.1,0,stable,1
103,1,0.1,0,admissible,0
103,1,0.1,0,admissible,1
103,1,0.1,0,complete,1
103,1,0.1,0,preferred,1
103,1,0.1,0,stable,1
104,1,0.1,0,admissible,0
104,1,0.1,0,admissible,1
104,1,0.1,0,complete,1
104,1,0.1,0,preferred,1
104,1,0.1,0,stable,1
105,1,0.1,0,admissible,0
105,1,0.1,0,admissible,1
105,1,0.1,0,complete,1
105,1,0.1,0,preferred,1
105,1,0.1,0,stable,1
106,1,0.1,0,admissible,0
106,1,0.1,0,admissible,1
106,1,0.1,0,complete,1
106,1,0.1,0,preferred,1
106,1,0.1,0,stable,1
107,1,0.1,0,admissible,0
107,1,0.1,0,admissible,1
107,1,0.1,0,complete,1
107,1,0.1,0,preferred,1
107,1,0.1,0,stable,1
108,1,0.1,0,admissible,0
108,1,0.1,0,admissible,1
108,1,0.1,0,complete,1
108,1,0.1,0,preferred,1
108,1,0.1,0,stable,1
109,1,0.1,0,admissible,0
109,1,0.1,0,admissible,1
109,1,0.1,0,complete,1
109,1,0.1,0,preferred,1
109,1,0.1,0,stable,1
110,1,0.1,0,admissible,0
110,1,0.1,0,admissible,1
110,1,0.1,0,complete,1
110,1,0.1,0,preferred,1
110,1,0.1,0,stable,1
111,1,0.1,0,admissible,0
111,1,0.1,0,admissible,1
111,1,0.1,0,complete,1
111,1,0.1,0,preferred,1
111,1,0.1,0,stable,1
112,1,0.1,0,admissible,0
112,1,0.1,0,admissible,1
112,1,0.1,0,complete,1
112,1,0.1,0,preferred,1
112,1,0.1,0,stable,1
113,1,0.1,0,admissible,0
113,1,0.1,0,admissible,1
113,1,0.1,0,complete,1
113,1,0.1,0,preferred,1
113,1,0.1,0,stable,1
114,1,0.1,0,admissible,0
114,1,0.1,0,admissible,1
114,1,0.1,0,complete,1
114,1,0.1,0,preferred,1
114,1,0.1,0,stable,1
115,1,0.1,0,admissible,0
115,1,0.1,0,admissible,1
115,1,0.1,0,complete,1
115,1,0.1,0,preferred,1
115,1,0.1,0,stable,1
116,1,0.1,0,admissible,0
116,1,0.1,0,admissible,1
116,1,0.1,0,complete,1
116,1,0.1,0,preferred,1
116,1,0.1,0,stable,1
117,1,0.1,0,admissible,0
117,1,0.1,0,admissible,1
117,1,0.1,0,complete,1
117,1,0.1,0,preferred,1
117,1,0.1,0,stable,1
118,1,0.1,0,admissible,0
118,1,0.1,0,admissible,1
118,1,0.1,0,complete,1
118,1,0.1,0,preferred,1
118,1,0.1,0,stable,1
119,1,0.1,0,admissible,0
119,1,0.1,0,admissible,1
119,1,0.1,0,complete,1
119,1,0.1,0,preferred,1
119,1,0.1,0,stable,1
120,1,0.1,0,admissible,0
120,1,0.1,0,admissible,1
120,1,0.1,0,complete,1
120,1,0.1,0,preferred,1
120,1,0.1,0,stable,1
121,1,0.1,0,admissible,0
121,1,0.1,0,admissible,1
121,1,0.1,0,complete,1
121,1,0.1,0,preferred,1
121,1,0.1,0,stable,1
122,1,0.1,0,admissible,0
122,1,0.1,0,admissible,1
122,1,0.1,0,complete,1
122,1,0.1,0,preferred,1
122,1,0.1,0,stable,1
123,1,0.1,0,admissible,0
123,1,0.1,0,admissible,1
123,1,0.1,0,complete,1
123,1,0.1,0,preferred,1
123,1,0.1,0,stable,1
124,1,0.1,0,admissible,0
